2018-01-19__08:31:33 pi2 Raspbian_GNU/Linux_ 4.9.41-v7+ up_1_week,_5_days,_6_hours,_18_minutes 0.20 0.13 0.03 29941 59 927 0 42.93 normal normal normal

2018-01-19__08:52:17 pi2 Raspbian_GNU/Linux_ 4.9.41-v7+ up_1_week,_5_days,_6_hours,_39_minutes 0.00 0.00 0.00 29941 59% 927 0% 39.70 normal normal normal

2018-01-19__08:53:58 pi2 Raspbian_GNU/Linux_ 4.9.41-v7+ up_1_week,_5_days,_6_hours,_41_minutes 0.00 0.00 0.00 29941 59% 927 91% 39.70 normal normal normal

2018-01-19__08:54:26 pi2 Raspbian_GNU/Linux_ 4.9.41-v7+ up_1_week,_5_days,_6_hours,_41_minutes 0.00 0.00 0.00 29941 59% 927 91% 39.70 normal normal normal

2018-01-19__08:55:26 pi2 Raspbian_GNU/Linux_ 4.9.41-v7+ up_1_week,_5_days,_6_hours,_42_minutes 0.00 0.00 0.00 29941 59% 927 8% 39.70 normal normal normal

2018-01-19__08:57:32 pi2 Raspbian_GNU/Linux_9 4.9.41-v7+ up_1_week,_5_days,_6_hours,_44_minutes 0.00 0.00 0.00 29941 59% 927 8% 39.70 normal normal normal

2018-01-19__11:29:26 pi2 Raspbian_GNU/Linux_9 4.9.41-v7+ up_1_week,_5_days,_9_hours,_16_minutes 0.00 0.00 0.00 29941 59% 927 9% 39.70 normal normal normal

2018-01-24__20:07:03 DESKTOP-B3ECN79 Ubuntu_16.04.3_LTS 4.4.0-43-Microsoft up_4_hours,_6_minutes 0.52 0.58 0.59 1440712 50% 8128 42%  normal normal normal
2018-02-26__09:53:57 DESKTOP-B3ECN79 Ubuntu_16.04.3_LTS 4.4.0-43-Microsoft up_24_minutes 0.52 0.58 0.59 1440712 37% 8128 29%  normal normal normal
2018-02-26__10:43:27 DESKTOP-B3ECN79 Ubuntu_16.04.3_LTS 4.4.0-43-Microsoft up_1_hour,_14_minutes 0.52 0.58 0.59 1440712 37% 8128 43%  normal normal normal
2018-03-01__15:07:33 DESKTOP-B3ECN79 Ubuntu_16.04.3_LTS 4.4.0-43-Microsoft up_1_hour,_2_minutes 0.52 0.58 0.59 1440712 36% 8128 35%  normal normal normal
2018-03-01__15:07:38 DESKTOP-B3ECN79 Ubuntu_16.04.3_LTS 4.4.0-43-Microsoft up_1_hour,_2_minutes 0.52 0.58 0.59 1440712 36% 8128 35%  normal normal normal
2018-03-01__07:51:46 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_43_minutes 0.27 0.23 0.14 29941 61% 927 6% 41.85 normal normal normal
2018-03-01__07:51:52 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_43_minutes 0.25 0.22 0.14 29941 61% 927 6% 41.85 normal normal normal
2018-03-01__07:51:58 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_43_minutes 0.23 0.22 0.14 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__07:52:04 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_43_minutes 0.21 0.21 0.14 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__07:52:10 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_43_minutes 0.18 0.21 0.14 29941 61% 927 6% 41.85 normal normal normal
2018-03-01__07:52:16 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_43_minutes 0.16 0.20 0.13 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__07:52:22 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_43_minutes 0.15 0.20 0.13 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__07:52:28 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_43_minutes 0.14 0.20 0.13 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__07:52:34 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_43_minutes 0.13 0.19 0.13 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__07:52:40 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_43_minutes 0.12 0.19 0.13 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__07:53:05 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_44_minutes 0.49 0.27 0.16 29941 61% 927 6% 45.08 normal normal normal
2018-03-01__07:53:11 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_44_minutes 0.45 0.26 0.16 29941 61% 927 6% 42.93 normal normal normal
2018-03-01__07:56:02 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_47_minutes 0.09 0.16 0.13 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__07:56:07 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_47_minutes 0.08 0.16 0.13 29941 61% 927 6% 40.24 normal normal normal
2018-03-01__07:56:13 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_47_minutes 0.07 0.15 0.13 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__07:56:19 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_47_minutes 0.07 0.15 0.13 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__07:56:25 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_47_minutes 0.14 0.16 0.13 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__07:56:31 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_47_minutes 0.12 0.16 0.13 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__07:56:37 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_47_minutes 0.11 0.16 0.13 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__07:56:43 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_48_minutes 0.11 0.15 0.13 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__07:56:49 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_48_minutes 0.10 0.15 0.13 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__07:56:55 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_48_minutes 0.09 0.15 0.13 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__07:57:01 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_48_minutes 0.15 0.16 0.13 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__07:57:07 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_48_minutes 0.14 0.16 0.13 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__07:57:13 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_48_minutes 0.13 0.15 0.13 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__07:57:19 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_48_minutes 0.12 0.15 0.13 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__08:03:51 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_55_minutes 0.00 0.03 0.07 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__08:03:57 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_55_minutes 0.00 0.03 0.07 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__08:04:03 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_55_minutes 0.00 0.03 0.07 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__08:04:09 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_55_minutes 0.00 0.03 0.07 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__08:04:15 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_55_minutes 0.00 0.03 0.07 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__08:04:21 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_55_minutes 0.00 0.03 0.07 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__08:04:27 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_55_minutes 0.00 0.03 0.07 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__08:04:33 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_55_minutes 0.00 0.02 0.07 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__08:04:38 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_55_minutes 0.00 0.02 0.07 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__08:06:31 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_57_minutes 0.00 0.01 0.06 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__08:06:37 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_57_minutes 0.08 0.03 0.06 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__08:06:43 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_58_minutes 0.07 0.03 0.06 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__08:06:49 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_58_minutes 0.07 0.03 0.06 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__08:06:54 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_58_minutes 0.06 0.03 0.06 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__08:07:00 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_58_minutes 0.06 0.03 0.06 29941 61% 927 6% 41.85 normal normal normal
2018-03-01__08:07:06 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_58_minutes 0.05 0.03 0.06 29941 61% 927 6% 40.78 normal normal normal
2018-03-01__08:07:12 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_20_hours,_58_minutes 0.04 0.03 0.06 29941 61% 927 6% 41.31 normal normal normal
2018-03-01__08:18:03 pi8 Raspbian_GNU/Linux_9 4.9.41-v7+ up_2_days,_21_hours,_9_minutes 0.16 0.03 0.01 29941 61% 927 6% 40.78 normal normal normal
