2018-01-12--16:33:51 8128.000000M 39% 22.375%
2018-01-12--16:34:29\n 8128.000000M 39% 22.375%
$NowTime\n ${MemValue}M ${MemAverPrec}% ${NowAver}%
2018-01-12--16:36:28\n 8128.000000M % %
2018-01-12--16:36:49\n 8128.000000M 39.8% 23.9%
2018-01-12--16:42:20\n 8128.000000M 40.0% 24.0%
2018-01-12--16:42:45\n 8128.000000M 40.0% 24.0%
2018-01-12--16:43:07\n 8128.000000M 40.0% 24.0%
2018-01-12--16:43:16\n 8128.000000M 40.0% 24.0%
2018-01-12--16:43:50\n 8128M 4733M % %
2018-01-12--16:43:53\n 8128M 4734M % %
2018-01-12--16:44:19\n 8128M 4738M 40.0% 24.0%
2018-01-12--16:44:40\n 8128M 4738M 40.0% 24.0%
2018-01-12--16:44:59/\n 8128M 4732M 40.0% 24.0%
$NowTime\n ${MemValue[0]}M ${MemValue[2]}M ${MemAverPrec}% ${NowAver}%
$NowTime\n ${MemValue[0]}M ${MemValue[2]}M ${MemAverPrec}% ${NowAver}%
2018-01-12--18:36:40 8128M 4358M 44.6% 24.9%
2018-01-12--18:37:06/\n 8128M 4348M 44.7% 24.9%
2018-01-12--18:37:12/\n 8128M 4350M 44.7% 24.9%
